PageCommentNumber,date,author,text
21,2007-04-04T16:29:50+00:00,anythngbutgm,"Thanks Andy, I didn't know that. I've been working in Manchester for about 6 weeks so today was my first sighting. Unmarked Black ones? Thanks for the heads up!"
22,2007-04-04T20:09:34+00:00,boomchek,"Your a dedictated car nut, to drive down for the auto show.

I'm going to go this week for the third time, cause when Iu worked there I didn't have too much time mto see stuff, and when I went with my fiancee, it was a quick walk as well."
23,2007-04-04T20:46:43+00:00,fintail,"I made it up in just a little over 2 hours, it wasn't too bad. The E55, with fast-ish highway driving, city traffic, and 25 minutes of border waste time on the way back still averaged 23 mpg, too.

IMO the Vancouver show is better than the Seattle show (they let you sit in more high end cars in Van), it's a nice day trip. I've gone to it for years, as once I didn't have to really travel to attend."
24,2007-04-05T13:55:07+00:00,ateixeira,"Edge this morning, and then a Lexus LS."
25,2007-04-05T14:27:38+00:00,paisan,"I've been seeing Lexus LSs and Edges for a few months now.

-mike"
26,2007-04-05T14:28:25+00:00,ateixeira,Took me a while to see an Edge on the road. I still think I've only seen a total of 3 or 4.
27,2007-04-05T14:29:58+00:00,teds1,Is it just me or is it tough to tell the new LS from the ES Lexus at a glance? Both are vast improvements from their last version but I don't find the overall shapes and details different enough. Whatever Lexi (?) aren't my thing anyway
28,2007-04-05T14:31:05+00:00,ateixeira,"The new ES looks much better than the outgoing one, which had those pulled-back eye lids.

Nothing wrong with a family resemblance."
29,2007-04-05T16:19:12+00:00,lemko,...champagne-colored GMC Arcadia on Rising Sun near Comly at lunchtime.
30,2007-04-06T00:32:39+00:00,boomchek,"You're not the only one. I have to do a double take to check which model I'm looking at.

Either way both the ES and LS have much better styling than the outgoing models."
31,2007-04-06T04:13:36+00:00,boomchek,"for some brochures, and to have a look at everything I didn't get a chance to see while working.

I was surprised by the GMC Acadia SUVs. Very well finished and equipped for the price. They even have digital control panel for the back seats with climate control and audio controls.

I noticed many new cars these days have a cheap feel to them. Door handles feel cheap and flimsy, interior plastics rmind me of those on the old hot wheel/matchbox gas station/parkade playsets. You tap on them and feel a hollow sound.

Saw the new VW Jetta wagon. I thought it was a Saab 9-3 wagoin at first because the angles and propotions are very similar, but it was the Jetta. I like the previous gen better in terms of looks.

Audis had top noitch interiors as always, very well finsihed, and laid out. I played around with their MMI (Audi's iDrive) because the stereo was on, and I still don't know why high end manufacturers can't just have simple controls for things like the stereo and climate.

New X5 was sweet too in and out. Once again my fav SUV out there.

Couple Hyundais that caught my eye: the Accent and the Azera. The Accent has very stylish lines to it for a subcompact, has that euro minicar flair to it. If I'd be in the market for the cheapest new car, I'd probably get the hatchback.
They had a silver Azera there, I think they only look good in black.

Other than that nothing much else excites me because we get many 1 or 2 year old trade ins on the lot at work, so I usually get to see and drive them at work. Currently we have an 06 RX8, 03 E500, SL55AMG, had an 05 LS430.

And surprisingly Kia wasn't at the show at all."
32,2007-04-06T11:09:54+00:00,guss,"the Gmc Acacia and Saturn Outlook at the Philly show and was also impressed. Although the price climbs pretty quickly when you start adding options, I thought the bare bones Outlook was a decent deal.

I saw a VW Eos pulled over to the side of the highway, she(of course) may have been trying to figure out how to get the top down because it was one of the first nice days around here."
33,2007-04-06T14:58:00+00:00,stever,Did you see the Volvo?
34,2007-04-06T15:19:47+00:00,british_rover,I see about a dozen LR2s outside my office. :surprise:
35,2007-04-06T15:30:25+00:00,chuck1959,"I noticed that too. What I saw driving past me I thought the LS until it past and the I noticed it was an ES, surprised me, That's what I get for missing an auto show!"
36,2007-04-06T17:20:09+00:00,teds1,"It was just a matter of time but I saw one of these today. Looked good.

Also those new Acadia things aren't bad looking either, I saw a few of them recently.

Hitting the NYIAS this afternoon... so pumped!"
37,2007-04-06T18:57:28+00:00,kyfdx,"I agree.... the Lexus ES is a big improvement in looks.. I have a hard time telling it from the IS, from the rear.."
38,2007-04-06T23:51:47+00:00,boomchek,"No, the Vancouver Auto Show didn't have that Volvo here.

Saw the new C30 though, neat little car. Chick car."
39,2007-04-07T19:05:01+00:00,ateixeira,"No kidding, the local dealer had just one AWD model in stock and it was $42k after discounts. :surprise:"
40,2007-04-09T13:52:27+00:00,anythngbutgm,"Well the wife and I visited Chicago for the weekend (what a beautiful city) and there were car sightings a plenty the entire weekend.

My imppressions:
Range Rover central: There were more RR and RRS there than I have seen in my entire life.

BMW 3-series were the car of choice, from regular 328's to 335i sedans and coupes. I don;t know if I was seeing things or not, but I thought I saw a new bodystyle coupe with quad exhaust pipes (new M3 sighting? :surprise: ) Sure sounded like it...

Up the street from the hotel was an Infiniti store that had a window display with some exotics (tradeins I think) and they Bentley GTC vert and a gorgeous Saleen S7. They also had an SLR Mercedes.

There were many more sightings, but these were probably the coolest. Even more beautiful than the cars was the Chicago Library with the gigantic petina'd copper forms looming from the roof. Can't wait to go back. :shades:"
41,2007-04-09T16:32:04+00:00,guss,"$42K For a Eos. :confuse: I thought it was carrying on the line of the Rabbit convertible/ Cabriolet. At that price were talking more Mercedes CL K.

Funny thing is, I thought it looked a bit like a 2 door Ford Escort."
42,2007-04-11T18:38:03+00:00,lemko,...a black 2007 Nissan Sentra. Sentras aren't as common as Altimas despite being lower priced.
43,2007-04-11T19:28:27+00:00,kyfdx,"You'll start seeing a lot of them... We rented from Alamo at the PHX airport last week.. They had a dozen of them, still with temporary tags (which is why I didn't take one of them)."
44,2007-04-11T19:33:16+00:00,rockylee,Rocky
45,2007-04-13T01:37:49+00:00,kyfdx,"Pontiac G5 (Cobalt clone?).. my first one.

Mercedes SL55 AMG.."
46,2007-04-13T02:58:35+00:00,guss,"That's alot of 5's, you should play 555 it in the lottery.

I saw a new Escape, the front end looks too much like the Explorer."
47,2007-04-13T12:49:15+00:00,lemko,...silver BMW X3 this morning.
48,2007-04-13T12:50:20+00:00,anythngbutgm,but I saw a Subaru SVX on the way to work this morning. Remember those?
49,2007-04-13T13:48:27+00:00,ateixeira,"Yep, full canopy and all. You can open the windows in a down pour and not get the interior wet. paisan had one.

Too bad, it was a car before its time. The idea of an upscale AWD touring coupe just came too early.

Now that the SUV boom is pretty much over, a lot of those buyers are getting AWD sedans, the SVX would have offered a nice alternative.

I guess you can get an A5 Quattro soon enough. :shades:"
0,2007-04-13T16:08:35+00:00,kyfdx,"I think the SVX's biggest problem was the price... Along with the Mitsubishi 3000GT VR4, it was about $10K higher than anything else that the dealer had on the lot...

It would be like Mitsu or Subaru selling a vehicle for $50K today.. It would be a tough sell.. Just ask Honda about the NSX... :surprise:"
1,2007-04-14T05:23:52+00:00,giancarlo51,"New cars galore around Seattle:

...a blue Acura TL Type-S was tailgating me this morning, looks even better in person (the photos of the blue one at the acura site does not do justice)

...new black MDX - also much better looking in person

...black MB S550 parked by Safeco Field, UGLY [non-permissible content removed] rims, but otherwise great design

...souped up black MB CL600 with black rims, not the way I like my 100K+ cars"
2,2007-04-16T16:57:39+00:00,andre1969,"about a week ago, but forgot to post. On the Balt-Wash Parkway in Maryland, near BWI Airport, I saw a Nissan X-trail. Are these things being sold in the United States now? I wasn't under the impression that they were.

And Maryland seems kinda far from the border to be seeing something that might be offered in Canada or Mexico. Although once I did see a Chrysler Intrepid at a local movie theater parking lot."
3,2007-04-16T17:14:01+00:00,stever,"I don't think they are sold here - just in Canada and Mexico (and Japan). We may get the Qashqai here in the States (now on sale in the UK) instead of the X-Trail.

Nissan X-Trail (we want it!)

I'd take the Bonavista Edition one myself."
4,2007-04-16T17:29:49+00:00,ateixeira,I bet it was Canadian. We're not that far from Canada here in MD.
5,2007-04-16T17:57:01+00:00,fintail,"Bentley Continental GTC, in black"
6,2007-04-17T10:59:01+00:00,guss,"a Kia Rondo, the little mini-van thing. I am a Mazda fan, but I liked the look of the Rondo better than the Mazda 5. It was a little more car like with the regular rear doors."
7,2007-04-18T16:09:53+00:00,ateixeira,"Sliders are very handy, though. Wider opening, less space.

I saw my first Mazda CX9 out on the road. Looks good.

Also saw my first Dodge Stratus. That looks a bit cartoonish, with very exaggerated ""styling"" features."
8,2007-04-19T02:27:15+00:00,fintail,"I saw a Saab 97-X today. I see more new Bentleys than I see these ""Saabs"". What a disaster."
9,2007-04-19T04:46:52+00:00,boomchek,"What's funny about badge engineered cars is that usually in the ads they claim they were designed and engineered from the ground up for (insert car brand here) customers who demand more.

Ummm, no they were desgned to be your run of the mill car/truck, with interchangeable panels so that it could be adopted to 5 different brand names out there."
10,2007-04-19T13:58:41+00:00,gagrice,"I rarely see a Saab or a Bentley of any type in San Diego. You must live in an affluent neighborhood. All we have down here are Mercedes, BMWs and a load of lifted PU trucks and SUVs. If you see one of these let us know."
11,2007-04-19T15:40:04+00:00,ateixeira,"Coupe, pulled right in front of me in traffic today.

Also saw an RD-X this morning.

Last night I was with my wife and walked by a parked Ford Edge. I still think it's big outside, small inside."
12,2007-04-19T16:06:13+00:00,fintail,"And in the case of the Saab, being little different from the clones that cost a lot less. That vehicle is old-school GM thinking at its finest."
13,2007-04-19T16:07:50+00:00,ateixeira,I saw the Dub Edition 9-7x and NYIAS and had to just laugh. This is not what the Saab founders had in mind. :sick:
14,2007-04-19T16:27:34+00:00,lemko,...saw a Subaru Tribeca at lunchtime today.
15,2007-04-19T17:18:56+00:00,ateixeira,"They're common around me. There's one at my kid's school that parks there every day (must be a teacher's) and two here in the garage at work.

The 08 is far more conventional looking:"
16,2007-04-19T18:47:39+00:00,bhill2,"I rarely see a Saab or a Bentley of any type in San Diego

Go north to Rancho Santa Fe. I used to drive through there all of the time. The less fortunate families only have one Bentley."
17,2007-04-19T20:26:59+00:00,gagrice,The last time I was up there Hale Bopp was flying over looking for Heaven's Gate cult members. You are right that would be the place to spot them.
18,2007-04-19T20:47:12+00:00,fintail,It's not an Edsel anymore!
19,2007-04-19T20:49:48+00:00,ateixeira,"Nope.

It's actually the Saabeca, i.e. the stillborn Saab 9-6x project.

FHI was developing a clone for Saab to sell, and when GM decided to sell its shares of FHI to Toyota, that stalled the project.

They recycled everything, the headlights are identical to ones from a test mule of the Saab 9-6x.

So basically Subaru is selling what would have been the Saabeca. I guess the good thing is that it cost them nothing to develop because they had already developed it!"
20,2007-04-19T20:57:15+00:00,kyfdx,"Wow... is that a big improvement, or what?"
21,2007-04-20T00:07:15+00:00,anythngbutgm,"Letting Subaru go was the best thing GM has done in the past 30 years...

I also saw the new Tribeca in NY. It's an improvement, definitely. The new WRX sedan is awesome as well."
22,2007-04-20T00:22:15+00:00,andre1969,That's one pretty impressive facelift on the Tribeca! It's nice to see that Subaru can react quickly when they have to.
23,2007-04-20T13:03:08+00:00,guss,"It's nice to see Subaru can admit to a mistake and make the appropriate changes.

Now all they need is a retrofit kit for the Tribeca's previously sold."
24,2007-04-20T13:38:33+00:00,ateixeira,"Well, like I said, they already had a 2nd design for the Saab 9-6x, so it wasn't so much a reaction. They just finished development of that clone, and swapped the badge.

The grille does look like it could be in the Chrysler family, but I wouldn't say it looks like one overall (just the grille):"
25,2007-04-20T16:53:18+00:00,lemko,...spotted a silver Chevrolet SSR at the Sunoco station on Rising Sun and Tyson as I was filling up my Seville. It's a nice day and the driver had the SSR's top down. Looks like a fun ride albeit impractical as a truck.
26,2007-04-20T20:06:35+00:00,anythngbutgm,"I got to drive one a few years ago when I put my S2000 away for the winter. Some guy was putting his away at the same garage. My impressions:

It's fun in a 1970 MonteCarlo kinda way. Big, heavy and ponderous. I'd even go so far as to say it handled about as well as this ""familiar"" concept...


And that's being polite. :blush: Power was there, but the thing weighed like 3 tons so it was strained, big time...

Edit: couldn't be driven in the rain because it had a water leak. He had to tape off the ""hole"" when it got washed."
27,2007-04-20T20:30:32+00:00,navigator89,"A deep blue Lamborghini Gallardo, an orange Ferrari 360 Modena, then a light blue 360 Modena, two Flying Spurs in white, two Continentals in white and red. Also two LS460s in greyish green. Two 911 Turbos as well, one old generation one new. Old one was neon blue, the new one was Guards Red like in the IL road test. Also a few new Cayennes.

Overall a terrific day!"
28,2007-04-22T20:53:05+00:00,andys120,"They aren't new but they're pretty rare even here in Saab Country and yesterday I saw TWO Saabarus, that's about a year's worth.

I've seen a couple of Dodge Nitros lately which I thought were nice looking for what they are."
29,2007-04-23T01:38:00+00:00,fintail,"Lots of nice new stuff out here today...I saw a Bentley Flying Spur, a couple of Continental coupes, a ""Bluetec"" badged E-class, an E63, a retractable roof BMW 3er, a couple Ford Edge, and a Hyundai Veracruz (VERY derivative of the CRV)"
30,2007-04-23T11:13:19+00:00,andys120,"I stopped by the BMW Store yesterday to ogle the new Three-series coupe and convertible. Needless to say both are gorgeous.

I personally am pleased to see BMW return to their classic styling themes with these cars.
They go right to the top of my wish list, in fact the 3er coupe and cab are better looking than the more expensive but overly Bangleized 6- series IMO.

Then there's the Z4s which by all accounts are sweet driving cars but are seriously ugly and if you thought the Roadster was ugly, wait til you get a load of the Z4 Coupe. :sick:"
31,2007-04-23T13:29:40+00:00,bumpy,"This one?


I like it. Reminds me a bit of the original 240Z. If it wasn't designed and built by Germans, I'd actually consider buying one.

The Z3 coupe was a bona fide uggo:"
32,2007-04-23T15:19:48+00:00,teds1,"Haven't posted in a while so I have a list.
First, the NYIAS was great. I am not gonna post any cars from the show as sightings but I will say the R8 was probably the most popular car there, the $30k V8 Hyundai Lux Sedan is going to be very significant, The Z4 Coupe is great looking but pretty spartan inside, The Lambo model was smoking hot next to two white Murcielagos, The Mazdaspeed 3 was my choice for reasonable buy, the ageing viper had a raaaaaad paint job (look it up), and unfortunately, Subaru really butchered the WRX.

Other than that I actually rode in a UNIMOG in mexico (how rare are they?)
Saw the usual complement of Maybachs, Phantoms and Flying spurs around my office
Saw another GTC parked top down in front of a restaurant
Saw two CL 550s... kinda gangsta
DB7, Gallardo (black with smoked taillights), old model Z06 with custom exhaust, and waaaaay too many people in convertibles with the top up. Come on it's spring, mess your hair up!

Oh and by the way the Z3 Coupes were ridculously awesome... sorry bumpy"
33,2007-04-23T16:45:08+00:00,ateixeira,"Saw a CR-V LX today. Odd to see them with steelies and so bare-bones.

Saw not one but TWO HHRs. I rarely see those.

Drove by a brand new Civic LX. Those wheel covers are still the bolt-on type, so I guess losing them is hard."
34,2007-04-23T19:16:48+00:00,andys120,"I think the Z3 coupe was pretty good looking compared to the Z4, not a beauty by any means but acceptable, at least to me."
35,2007-04-23T19:28:44+00:00,guss,"I never got the flame surfacing either. The Z3, in convertible form anyway, was tolerable. The Z4 is just weird."
36,2007-04-23T19:30:45+00:00,kyfdx,"I think the Z4 looks are improved in coupe form, something that I can't say about the Z3..

While I do have an affinity for goofy-looking cars, even the owners of the Z3 coupe named their annual gathering, ""DorkFest""."
37,2007-04-23T20:55:34+00:00,ateixeira,I call it the Clown Shoe. So ugly it's actually endearing in a way.
38,2007-04-23T21:51:35+00:00,fintail,"Ha! I've always called those cars the ""shoe"" as well. There used to be one in the garage of my apt building, and it never moved...but one day it was gone, out of the blue."
39,2007-04-24T13:02:34+00:00,anythngbutgm,"Same here, I always referred to it as a wooden shoe from Holland."
40,2007-04-30T20:51:28+00:00,bumpy,I rode behind a BMW 650i convertible. That car has an absurdly large bubble butt.
41,2007-04-30T20:54:13+00:00,ateixeira,"Saw a couple of these this weekend. Still far from common around here, though.

Also saw a new Fit this morning."
42,2007-05-02T01:39:48+00:00,fintail,"Today I saw an Audi RS4, I believe it was new"
43,2007-05-02T12:12:00+00:00,anythngbutgm,Heading South on Rt3 in NH I spotted a Silver Carrera GT. :surprise: Wow!
44,2007-05-02T14:13:09+00:00,kyfdx,"New Hampshire? Just think.. he saved $25K in sales taxes..

That probably made the difference in qualifying for the loan....lol."
45,2007-05-02T14:37:37+00:00,ateixeira,"Casually commuting next to me in bumper to bumper DC traffic.

Makes no sense to me. Why subject a car like that to a crawling traffic mess?"
46,2007-05-02T15:34:20+00:00,british_rover,Har funny but true.
47,2007-05-02T16:06:33+00:00,anythngbutgm,LOL!
48,2007-05-02T21:47:01+00:00,odie6l,"I got to see a Mary Kay edition Cadillac at the local Post Office. The car is normal, but the paint job (besides being a shade of PINK) was a neat reflective Mother of Pearl. It shimmered as I went past. I was nore of a White with a Pink underlay. It was sure an eye catcher.

Odie
Odie's Carspace"
49,2007-05-03T13:42:35+00:00,ateixeira,I thought only Avon ladies had pink cars...
0,2007-05-03T14:29:07+00:00,kyfdx,"Saab 9-2X Aero..

Summer of 2005, you could get one of these very, very cheap... undercutting the WRX wagon, even.. I wish I had."
1,2007-05-03T14:30:19+00:00,kyfdx,"New BMW Z-M coupe..

I like these, but if you put one up next to a Cayman, I'd take the Cayman every time."
2,2007-05-03T17:25:32+00:00,ateixeira,"Yep, you could get a no-haggle walk-in price of $19.4k, hard to believe even in hindsight.

Plus, with Saab you got 2 free years of service!

At the time I think a base WRX was $21k or so, no free service. The only extra thing you got was roof rails.

Saw a new Ducati, a Buell, and a BMW boxer. Motorcycles, of course. :shades:"
3,2007-05-03T17:31:35+00:00,anythngbutgm,Last evening. wow.
4,2007-05-04T01:09:00+00:00,boomchek,"Black Gallardo convertible driving with the top up on a sunny day.

Really stunning looking car more so in person than in pictures."
5,2007-05-04T13:59:03+00:00,lemko,...silver Porsche Cayenne Turbo on my way to work this morning.
6,2007-05-04T17:22:00+00:00,kyfdx,"I'm sort of over the Sky/Solstice thing...

They remind me of cartoon cars.. sort of like the mid-late '70s Vettes... Just a lot of swoops, with nothing underneath.."
7,2007-05-04T22:08:35+00:00,bumpy,"I dunno; the turbo versions are pretty decent at what they are (2-seat GT cabrios). The base version is pretty dumpy, though. GM put the wrong engine (and transmission) in it."
8,2007-05-06T12:27:19+00:00,bumpy,finally bought a Saturn Outlook. Still looks too similar to the Acadia in person. Also saw an XLR yesterday.
9,2007-05-07T12:43:57+00:00,lemko,...black Dodge Nitro and black BMW 745 with portholes! Maybe he'd really rather have a Buick?
10,2007-05-07T16:25:41+00:00,rockylee,"Yeah, he could be a in the closet Buick, fan.-grin

-Rocky"
11,2007-05-07T16:36:34+00:00,ateixeira,"Spent the weekend visiting the in-laws and spotted one of these in (where else?) Darien, CT."
12,2007-05-08T00:58:22+00:00,odie6l,"I got to see Four (4) Prowlers running together today on my way into work. 2 Silver, 1 Yellow, and 1 Blue (w/ White Top). The Blue one could have passed for a Detroit Lions Car (Hawaiian Blue and White). It looked really neat.

Odie
Odie's Carspace"
13,2007-05-08T13:11:15+00:00,ateixeira,"Saw two of these, and a Lincoln MKX towing a trailer as well."
14,2007-05-08T13:57:23+00:00,lemko,Saw a silver Mercedes S500 this morning in traffic.
15,2007-05-08T15:28:54+00:00,fintail,S500 is now the S550 here. The car you saw might have even been from one of those lovely highline BHPH lots that seem to be common in Philly. A lot of people will see a 2000 MY S class and think it is new...as it is different from an 06 model in just some trim detail.
16,2007-05-09T12:41:33+00:00,lemko,"...if this is a dealer installed option or not. Spotted a black Dodge Ram ""Midnite Express Truck"" with door decals and exhaust stacks. It was reminiscent of the L'il Red Express Truck of the late 1970s. I remember seeing another Dodge truck - yellow this time - with a decal package and spoiler ""Rumble Bee"" reminiscent of the old Dodge Super Bee muscle car."
17,2007-05-09T19:50:13+00:00,andys120,"black BMW 745 with portholes! Maybe he'd really rather have a Buick?

Maybe you saw a Maserati Quattroporte?"
18,2007-05-10T00:58:24+00:00,boomchek,"Sometimes dealers make up their own ""special"" packages.

One of the Honda dealers in town did this to their Ridgelines when they first came out. They added running boards, mudflaps, roof rack, foglights, and ugly graphics and called in a Urban package or something like that."
19,2007-05-10T01:58:27+00:00,rockylee,"So they made a ugly truck even more.... :surprise:

-Rocky"
20,2007-05-10T13:13:59+00:00,andys120,"I saw an MKX for the first time, Lincoln's new crossover looks pretty good. The grille, which copies the one from a '61 Continental is almost too much for the relatively small MKX. OTOH
the car I saw could use larger wheels.

Am I the only one who thinks the new Lincoln nomenclature is idiotic?"
21,2007-05-10T16:57:28+00:00,ateixeira,"No. I'm a car guy and I have to think about it each time.

The worst part is they had a Mark Seven, Mark Eight, but these are Em Kay Ex, Em Kay Zee. So there's that as well.

For MKX, I try to think of the X as ""crossover"", and that helps. The Z is for Zephyr in MKZ, I supposed.

Porsche has the same issue with the Cayenne and Cayman, they names are just too close."
22,2007-05-10T17:13:50+00:00,andys120,"Porsche has the same issue with the Cayenne and Cayman, the names are just too close.

I quite agree, I get them mixed up too. Cayenne is a dumb name, Porsche should've called it the Dakar and the Cayman (a small crocodille for cryin' out loud) should be the 987."
23,2007-05-10T17:14:07+00:00,fintail,I saw an E63 yesterday. It was white. Why?
24,2007-05-10T17:15:10+00:00,ateixeira,"I won't say what Jeremy Clarkson called it.

Top Gear fans will remember."
25,2007-05-10T18:26:54+00:00,lemko,...spotted a black and dark maroon Maybach 57 on the street one block west of my house.
26,2007-05-11T15:20:51+00:00,teds1,"Yesterday I saw a white GT3 being driven by a 30 year old guy wearing business casual, expesive sunglasses and an air of distain. The license plate frames said Lotus of Greenwich... I wonder what HE does for a living.

Also I forgot that a few weeks ago I saw a Campagna T-Rex on Broadway. Wierdest thing was the color, Beige. Who gets an outrageous sportbike/trike thing and paints it beige?

I have seen a few Maybach 57S s near my office whcih spiced up the usual uber limo blend for a while. I can't fathom why one would buy a 57S but at least three guys who work on Park avenue did."
27,2007-05-11T15:32:01+00:00,stever,"I wonder what HE does for a living.

Maybe he was shuttling the car for the dealer he works for. :P"
28,2007-05-11T15:52:50+00:00,british_rover,Heheh yeah but those kind of cars don't get shuttled. They get moved in an enclosed trailer.
29,2007-05-11T16:16:27+00:00,fintail,"It's not what he does for a living, it's what his dad or grandpa does...

It's funny, I see RR Phantoms on the road here now and then, but I have seen a Maybach but once. What a lead balloon."
30,2007-05-11T16:28:08+00:00,british_rover,"The clients I have with serious money, and exquisite taste, all have Bentleys and/or a Rolls. Only one has a maybach and he does not have good taste. More of a wannabe rap promoter then anything else."
31,2007-05-11T17:21:03+00:00,fintail,"Ah, speaking of Bentley, the past couple days I have seen this same Flying Spur drive down my street, and it is a very unusual color - kind of a light pearly blue. Not bad really."
32,2007-05-14T00:57:21+00:00,fintail,"Not the newest things, but I saw the same red Enzo (it has to be the same) that I saw several months ago, and also a SL65 AMG."
33,2007-05-14T01:25:19+00:00,bigo08,about a million Toyota Camrys on my way back from LA this morning :sick:
34,2007-05-14T13:47:31+00:00,teds1,"I drove the length of the LIE on Sunday and hung around in Manhattan. The day's sightings made me feel like I was in Monaco instead of NY.

I saw,
2 ferrari 360 spyders (red and blue)
2 Maserati Quattroportes
4 Bentley Continental GT covertibles
Aston Martin DB9 convertible
Ford GT (white with blue stripes, the best color combo)
2 M6s
3 M5s
60s 356 Porsche roadster
Guards Red 2007 Porsche Turbo
Ferrari 250 gt Lusso!!!!!!!!
New LR2 rover, not bad but too $$$ for my tastes.
New Santa Fe (pretty car actually, I would consider it if I like suvs)
Customized Prowler

Slowly driving down Broadway reving their engines, a fly yellow Murcielago with 4 pipe tubi exhaust, smoked rear lenses and matching yellow rims. It was followed by a 360 modena spyder with the same color treatment.... Holy crap that sounded great!

And they say NY isn't a car town."
35,2007-05-14T15:20:32+00:00,fintail,"A 250GT Lusso, as in a ca. 1964 Berlinetta Lusso? Wow

I saw a black Gallardo today with black wheels. I have noticed a black wheel trend lately - there's also a Bentley GT around here with black wheels."
36,2007-05-14T15:26:50+00:00,british_rover,"On the right car black wheels can look good but it has to be the right car.

This morning I saw a late 90s Mustang 4.6 in a teal green with shiny black wheels.

That was NOT the right car."
37,2007-05-14T16:40:12+00:00,fintail,"I've seen it on some E55s like mine. It's OK on a dark car...but I have no intentions of doing that to mine, even if it just meant having the monoblock spokes painted. I'm one of those people who prefers a stock wheel 9 times out of 10.

Ooh, a Porsche Carrera GT just drove by..."
38,2007-05-14T16:52:55+00:00,teds1,"I usually prefer stock wheels as well, but I have seen some in a ""Black Chrome,"" that are pretty cool, it's more like the Tungsten color on the last model m5's wheels. As for paint matched rims... Its a fad.

And yes it was a berlinetta Lusso, and it was beautiful"
39,2007-05-14T16:54:34+00:00,anythngbutgm,"A black Ford GT driving so slow, it was holding up traffic on the road behind it

Silver Mclaren SLR
Avanti convertible (What an ugly car)

And the old...
Black Mercedes Fintail"
40,2007-05-14T17:39:44+00:00,fintail,"I saw a CLS with those black chromes...they were the McLaren turbine style. It didn't look bad...but it looked very pricey.

My car is dark grey, a person suggested that I paint the spokes of the wheels to match the car, and leave the polished lips as-is...but it's not worth the time and expense to me. I think the AMG monoblock is one of the most timeless wheel designs out there...mine are virtually unmarked, so I will leave them be.

I've never seen a Lusso on the road. At least it's not a garage queen. I can be jealous and respectful at the same time."
41,2007-05-14T17:44:44+00:00,fintail,"I had my fintail out yesterday. I swear, it gets as much attention as a really high end new car."
42,2007-05-14T17:56:58+00:00,british_rover,"Cause those things are timeless and really good looking.

I still see that dark blue one around my dealership from time to time. It needs a new passenger side fender though as the metal right behind the headlight has come apart."
43,2007-05-14T19:29:26+00:00,boomchek,"Red Lambo Gallardo. First red one I've seen, most were either black or silver."
44,2007-05-14T19:38:21+00:00,fintail,"Yeah, the stacked lights and high grille seem to do something to people..myself included. It makes the car look very regal (I don't mean Buick) and expensive. I once knew a guy who thought it was a Bentley...no kidding. The period color doesn't hurt either.

I bet fintails can really be rusty around your neck of the woods...those cars can rust into pieces on salted roads. If it has rusted around the lights, there are almost certainly other issues."
45,2007-05-14T19:59:43+00:00,british_rover,I see it all the time but I have never seen the owner. It is always either parked some where out of the way or going the opposite direction that I am going. I guess it can't be in too bad a shape if it is driving that much. The interior is spotless. The leather looks so good it has to have been recovered.
46,2007-05-14T22:15:38+00:00,fintail,Is it leather or Tex?
47,2007-05-14T22:43:01+00:00,lemko,Cool! I had my 1989 Cadillac Brougham out yesterday and today! These old cars really stand out in a sea of Camcords and anonymous soccer-mommy mobiles.
48,2007-05-14T23:31:07+00:00,fintail,"Yep, it's nice to be able to preserve examples of old design, back when character meant something. These old cars might not be as trouble free as moderns, but they are more enjoyable, and are a cheap vice to have. In the past 5 years I have spent very little on the fintail other than gas, insurance (almost nothing), oil changes, and storage costs."
49,2007-05-15T00:23:15+00:00,british_rover,I have never touched it so I can't say. It looks like leather but that Tex can be so good maybe it is tex.
0,2007-05-15T03:08:58+00:00,fintail,"The leather in old MB will rot away like any other of not maintained. But the Tex will survive a nuke, I think.

Speaking of newer cars, was the 03+ Range Rover ever offered in a loud non-metallic red? I see a youngish guy driving one of these in my area, with big dumb wheels, and it annoys me."
1,2007-05-15T14:10:18+00:00,british_rover,"2003-2006 Range Rovers came in Alveston Red which is kind of a burgandy color.



Looks kine of like that.

http://orangecounty.craigslist.org/car/329145960.html

2007 Range rovers come in Rimini Red which is a little brighter.

You don't see many red Range Rovers though. I have only ever sold two."
2,2007-05-15T14:21:45+00:00,bumpy,Divine Auto? Is salvation included at no extra charge if you accept Jesus as your personal salesman?
3,2007-05-15T14:27:06+00:00,british_rover,"SSUUUREEEEE it is

It was just the first thing google game me that was actually an alveston Range Rover.

Look at this Travesty though...



Five points to whoever can tell me all the things wrong with that vehicle."
4,2007-05-15T14:27:55+00:00,kyfdx,"First.. It looks like it has low-profile tires/wheels off of a passenger car..

The steering wheel is on the wrong side..

Running boards are going to inhibit off-roading..

Sorry... that's all I have.."
5,2007-05-15T15:20:00+00:00,fintail,Ah that's not even close to the one I have the misfortune of seeing nearly every day. I suspected it might be some kind of repaint...it has a poserfied air to it. The red I see reminds me of the non-metallic red I see on early 00's Jettas.
6,2007-05-15T15:21:16+00:00,fintail,"That looks like the 95-02 model with a new style front end, and those lame cliched fender vents. The Brits love to make aftermarket facelifts like that, I have seen them for Mercedes as well."
